line_number,name,left_context,right_context,full_context
6631,England,Treasorer of ,:,Treasorer of England:
6642,Ireland,Vlstar in ,e.</note,Vlstar in Irelande.</note
6643,Queene,of the ,s Maiesties,of the Queenes Maiesties
6644,Ireland,reformation of ,"e, sente","reformation of Irelande, sente"
6672,Queene,of the ,s,of the Queenes
6676,Queene,and two ,s in daungerous,and two Queenes in daungerous
6679,Queene,to the ,s Maiestie,to the Queenes Maiestie
6695,Queene,in the ,s fauour,in the Queenes fauour
6723,England,Maiestie of ,"e, who","Maiestie of Englande, who"
6723,Queene,,s Maiestie,Queenes Maiestie
6729,Elizabeth,,. They,Elizabeth. They
6729,England,into , the seue,into England the seue
6730,Queene,to the ,s Maiestie,to the Queenes Maiestie
6734,England,Admirall of ,", that","Admirall of England, that"
6786,Queene,of the ,s Maiesties,of the Queenes Maiesties
6833,Queene,p>Our , at the,p>Our Queene at the
6858,Queene,the ,s Maiestie,the Queenes Maiestie
6972,Elizabeth,Queene , a,Queene Elizabeth a
6972,England,,",<note","England,<note"
6972,Queene,"margin"">", Elizabeth,"margin"">Queene Elizabeth"
6992,Queene,our ,s,our Queenes
7067,England,Historie of , Page,Historie of England Page
7084,Essex,Erle of ,", accompanyed","Erle of Essex, accompanyed"
7086,Essex,le of , and the,le of Essex and the
7088,Ireland,,e.</note,Irelande.</note
7090,Ireland,towardes ,e.</p,towardes Irelande.</p
7101,Essex,Earle of ,", and","Earle of Essex, and"
7109,Essex,Erle of , hauing,Erle of Essex hauing
7110,England,Maiestie of , directed,Maiestie of England directed
7110,Ireland,Vlster  ,.</note,Vlster  Ireland.</note
7110,Essex,Erle of , captaine,Erle of Essex captaine
7111,Ireland,Deputie of ,"e, willing","Deputie of Irelande, willing"
7112,Essex,Earle of , Captaine,Earle of Essex Captaine
7229,Queene,of the ,s maiesties,of the Queenes maiesties
7337,England,,"e, as","Englande, as"
7405,Elizabeth,names of ,", Marie","names of Elizabeth, Marie"
7441,Queene,,s Maiesties,Queenes Maiesties
7459,Queene,wherevpon the ,s Maiestie,wherevpon the Queenes Maiestie
7499,Ireland,Marshall of ,", Knight","Marshall of Ireland, Knight"
7499,Essex,Earle of ,", and","Earle of Essex, and"
7502,Essex,Earle of , departeth,Earle of Essex departeth
7512,England,Maiestie of , and the,Maiestie of England and the
7512,Queene,of the ,s Maiestie,of the Queenes Maiestie
7521,England,Portingale in ,e and,Portingale in Englande and
7521,Ireland,Englande and ,"e, as","Englande and Irelande, as"
7556,Elizabeth,Queene ,", whose","Queene Elizabeth, whose"
7556,Queene,Lady , Elizabeth,Lady Queene Elizabeth
